Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Ramchandra Chinese Food,Gurgaon,"C-145, Vyapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar","Chinese, Fast Food",250,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average,10,India
Sona Chinese,Gurgaon,"C-124, Vyapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar",Chinese,400,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,14,India
The Pastry Hut,Gurgaon,"S-73, Palam Vyapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar","Bakery, Desserts",150,Indian Rupees(Rs.),No,Yes,No,No,1,2.9,Orange,Average,13,India
Aggarwal Sweets & Restaurant,Gurgaon,"B-89, Vyaapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar",Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0,India
Bhoomika,Gurgaon,"39, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Bakery, Desserts",250,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,6,India
FoodZilla,Gurgaon,"UGF-126, 1st Floor, Vyapar Kendra, C Block, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Chinese, Assamese",700,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,153,India
Goli Vada Pav No. 1,Gurgaon,"180, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",Street Food,150,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,151,India
Indo Chinese,Gurgaon,"178, Ground Floor, Vyapar Kendra, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","North Indian, Chinese",200,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,12,India
Kathi Junction,Gurgaon,"GF-23, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",Fast Food,400,Indian Rupees(Rs.),No,Yes,No,No,1,3.0,Orange,Average,89,India
Romi da Dhaba,Gurgaon,"GF-177, Sushant Vyapar Kendra, Sushant Lok 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",North Indian,550,Indian Rupees(Rs.),No,Yes,No,No,2,3.1,Orange,Average,122,India
Shamji Snacks,Gurgaon,"54, Vyapar Kendra, Block C, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Mithai, Street Food, South Indian, Chinese, North Indian",400,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,83,India
The Lunch Break,Gurgaon,"UGF-9, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,7,India
Veg O Non,Gurgaon,"181, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",North Indian,650,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,21,India
Alwar Sweets,Gurgaon,"GF-40, Opposite Mother Dairy, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Mithai, Street Food",200,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,66,India
Bakers Oven,Gurgaon,"9, Ground Floor, Vyaapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Bakery, Desserts",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,69,India
Burgzz Bee,Gurgaon,"GF-179, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Burger, Fast Food",250,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,60,India
Chinese Corner,Gurgaon,"GF-174, Vyapar Kendra, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Chinese, Thai",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,369,India
Iroha,Gurgaon,"GF-144-146, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Bakery, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,63,India
Chaudhary Burfi Wala,Gurgaon,"Shop 38, Vyapar Kendra, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,2,India
Curry 'n' Phulka,Gurgaon,"GF-1, Vyapar Kendra, Block C, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok","North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,83,India
Wah Ji Wah,Gurgaon,"100, Ground Floor, Vyapar Kendra, C Block, Phase 1, Sushant Lok, Gurgaon","Vyapar Kendra, Sushant Lok",North Indian,400,Indian Rupees(Rs.),No,Yes,No,No,1,2.2,Red,Poor,142,India
Woods Spice,Gurgaon,"Woods Resort, H Block, Greenwood City, Near Sector 45, Gurgaon","Woods Resort, Gurgaon","Continental, North Indian",1300,Indian Rupees(Rs.),Yes,No,No,No,3,3.2,Orange,Average,36,India
Mocha,Guwahati,"Anil Plaza 2, G.S Road, Christian Basti, Guwahati","Anil Plaza, Christian Basti","Cafe, Italian",800,Indian Rupees(Rs.),No,No,No,No,3,4.6,Dark Green,Excellent,394,India
Terra Mayaa Restaurant and Lounge,Guwahati,"6th Floor, Anil Plaza 2, G.S. Road, Christian Basti, Guwahati","Anil Plaza, Christian Basti","North Indian, Continental, Italian, Chinese",1400,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,360,India
The Basement Cafí©,Guwahati,"R.G. Baruah Road, Near Guwahati Commerece College, Chandmari, Guwahati",Chandmari,Cafe,600,Indian Rupees(Rs.),No,No,No,No,2,4.7,Dark Green,Excellent,126,India
Strawberry Fields,Guwahati,"Chakradhar Villa, Opposite All India Radio, Chandmari, Guwahati",Chandmari,Cafe,500,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,290,India
Brooklyn Blues,Guwahati,"4th Floor, Dona Planet Mall, G. S. Road, Christian Basti, Guwahati",Christian Basti,"Continental, European",1400,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,110,India
Confucius,Guwahati,"Near VLCC, G.S. Road, Christian Basti, Guwahati",Christian Basti,"Chinese, Thai",750,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,304,India
The Woking Mama,Guwahati,"4th Floor, Dona Planet Multiplex Mall, D. Neog Path, GS Road, Christian Basti, Guwahati",Christian Basti,"Chinese, Thai, Japanese, Asian",1300,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good,129,India
Underdoggs Sports Bar & Grill,Guwahati,"1st Floor, Central Mall, G.S. Road, Sree Nagar, Christian Basti, Guwahati",Christian Basti,"North Indian, Continental",1650,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,222,India
The Zouq : Resto-Cafe,Guwahati,"1st Floor, Royal Orchard, House 1, By Lane 2, Near Arohan and Passport Office, Dispur, Guwahati",Dispur,"Cafe, North Indian, Italian",500,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,124,India
BrewBakes,Guwahati,"Near Six Mile Flyover, above Domino's Pizza, Six Mile, Guwahati G.S. Road",Six Mile,"Cafe, Continental, Chinese",500,Indian Rupees(Rs.),No,No,No,No,2,4.0,Green,Very Good,28,India
Barbeque Nation,Guwahati,"2nd Floor, Adityam Building, Ulubari, Guwahati",Ulubari,North Indian,1500,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,774,India
Yo! China,Guwahati,"1st Floor, Adityam Building,Borthakur Mall Road, Ulubari, Guwahati",Ulubari,Chinese,800,Indian Rupees(Rs.),No,No,No,No,3,3.6,Yellow,Good,327,India
4 Seasons,Guwahati,"Opposite Institute of Social Science, Bhuban Road, Uzan Bazaar, Guwahati",Uzan Bazaar,"Chinese, North Indian",300,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,142,India
11th Avenue Cafe Bistro,Guwahati,"Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati",Uzan Bazaar,"Cafe, American, Italian, Continental",400,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,377,India
Cafí© Riverrun,Guwahati,"47, Mahatma Gandhi Road, Uzan Bazaar, FabIndia Building, Guwahati ",Uzan Bazaar,"Continental, Juices, Cafe, Desserts, Salad, Italian",500,Indian Rupees(Rs.),No,No,No,No,2,4.2,Green,Very Good,99,India
Fat Belly,Guwahati,"Opposite Rabindra Bhawan, GNB Road, Ambari, Dighalipukhuri East, Uzan Bazaar, Guwahati",Uzan Bazaar,"Asian, Chinese, Tibetan",500,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,25,India
The Corner Cafe,Guwahati,"Navin Bhawan, Lamb Road, Ambari, Uzan Bazaar Guwahti, Uzan Bazaar, Guwahati",Uzan Bazaar,"Cafe, Continental",850,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,179,India
Chung Fa,Guwahati,"Zoo Narengi Road, Geetanagar, Zoo Tiniali Area, Guwahati, Zoo Tiniali, Guwahati",Zoo Tiniali,Chinese,600,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,369,India
Shanghai Salsa,Guwahati,"37, 1st Floor, Hatigarh Chariali, Mother Teresa Road, Zoo Tiniali Area, Zoo Tiniali, Guwahati",Zoo Tiniali,"Continental, Fast Food, Chinese, Charcoal Grill, Mexican",1000,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,256,India
Three Guys,Guwahati,"R.G.B Road, Zonali, Near Jonali Bus Stop, Zoo Tiniali, Guwahati",Zoo Tiniali,"Continental, North Indian, Chinese, Arabian, Thai",700,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,233,India
Ziya,Guwahati,"Opposite 5th By-Lane, Mother Teresa Road, Zoo Road, Zoo Tiniali, Guwahati",Zoo Tiniali,"Continental, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,96,India
Exotica,Hyderabad,"Opposite Audi Showroom, 5th Floor, 12th Square Building, Road 12, Banjara Hills, Hyderabad","12th Square Building, Banjara Hills","Mughlai, North Indian, Chinese",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.3,Green,Very Good,3374,India
AB's - Absolute Barbecues,Hyderabad,"No. 8-2-618/10-11,2nd Floor, Krishe Amethyst, Road No.1, Banjara Hills, Hyderabad",Banjara Hills,"European, Mediterranean, North Indian",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,200,India
Chili's,Hyderabad,"Flat 48, Ground Floor, Opposite Vengal Rao Park, Road 1, Banjara Hills, Hyderabad",Banjara Hills,"Mexican, American, Tex-Mex, Burger",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.7,Dark Green,Excellent,1932,India
The Fisherman's Wharf,Hyderabad,"304, Puppalaguda, Financial District,ISB - Outer Ring Road, Gachibowli, Hyderabad",Gachibowli,"Seafood, Continental, Goan, Asian, Andhra",1500,Indian Rupees(Rs.),Yes,No,No,No,3,3.8,Yellow,Good,144,India
Chili's,Hyderabad,"F 48, 1st Floor, Inorbit Mall, Hitech City, Hyderabad",Hitech City,"Mexican, American, Tex-Mex, Burger",1800,Indian Rupees(Rs.),No,Yes,No,No,3,4.6,Dark Green,Excellent,2553,India
Pine & Dine,Hyderabad,"Plot 73, Jubilee Enclave, Hitech City, Hyderabad",Hitech City,"North Indian, South Indian, Chinese",700,Indian Rupees(Rs.),Yes,Yes,No,No,2,4.0,Green,Very Good,682,India
Jonathan's Kitchen - Holiday Inn Express & Suites,Hyderabad,"Holiday Inn Express & Suites, Gachibowli, Hyderabad",Holiday Inn Express & Suites,"North Indian, Japanese, Italian",1900,Indian Rupees(Rs.),Yes,No,No,No,3,4.3,Green,Very Good,860,India
AB's - Absolute Barbecues,Hyderabad,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad",Jubilee Hills,"European, Mediterranean, North Indian",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,5434,India
Coní_u,Hyderabad,"479/B, Road 21, Jubilee Hills, Hyderabad",Jubilee Hills,"Bakery, Desserts",600,Indian Rupees(Rs.),No,No,No,No,2,4.8,Dark Green,Excellent,1023,India
Dock Forty Five,Hyderabad,"1067, Road 45, Jubilee Hills, Hyderabad",Jubilee Hills,"Continental, Asian",1400,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,79,India
Mocha Bar,Hyderabad,"161, Road 13, Jubilee Hills, Hyderabad",Jubilee Hills,"North Indian, Continental, Italian",1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,221,India
Olive Bistro,Hyderabad,"Road 46, Inside Durgam Cheruvu, Jubilee Hills, Hyderabad",Jubilee Hills,"Mediterranean, Italian, European",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.4,Green,Very Good,2218,India
Prost Brew Pub,Hyderabad,"882/A Road No 45, Jubilee Hills, Hyderabad",Jubilee Hills,"Italian, Continental, Chinese",1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,594,India
United Kitchens of India,Hyderabad,"Road 45, Jubilee Hills, Hyderabad",Jubilee Hills,"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",1100,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,1431,India
Heart Cup Coffee,Hyderabad,"B 7 & 8, Jubilee Garden, Behind TCS Building, E Park, Kondapur, Hyderabad",Kondapur,"Cafe, Continental, North Indian, Chinese",1800,Indian Rupees(Rs.),No,Yes,No,No,3,4.2,Green,Very Good,1859,India
Churrolto,Hyderabad,"Ground Floor, Shop 3, Opposite IndusInd Bank, Madhapur Main Road, Madhapur, Hyderabad",Madhapur,"Desserts, Cafe, Mexican",500,Indian Rupees(Rs.),No,No,No,No,2,4.7,Dark Green,Excellent,344,India
The Grand Trunk Road,Hyderabad,"16, Image Garden Road, Madhapur, Hyderabad",Madhapur,"North Indian, Chinese",1100,Indian Rupees(Rs.),No,Yes,No,No,3,3.9,Yellow,Good,616,India
Sahibäó»s Barbeque by Ohriäó»s,Hyderabad,"First Floor, Shilparamam Complex, Opposite Cyber Tower, Hitech City, Hyderabad",Ohri' Hitech City,"Hyderabadi, Awadhi",1400,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,571,India
KYRO,Indore,"Fortune Aura Rooftop, 1,  Gurmeet Nagar, Bhawar Kuan Main Road, Bhawar Kuan, Indore",Bhawar Kuan,"North Indian, Chinese, Continental, Mediterranean, Asian",1300,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,238,India
JAL - A Jungle Restaurant,Indore,"Behind Pushp Kunj Hospital, Khandwa Road, Bhawar Kuan, Indore",Bhawar Kuan,"North Indian, Chinese",850,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,100,India
Oye24,Indore,"HIG-LIG, Indore",HIG-LIG,"North Indian, Chinese, South Indian",250,Indian Rupees(Rs.),No,No,No,No,1,4.1,Green,Very Good,152,India
Hobnob Gourmet Cafí©bar,Indore,"Infiniti Hotel, 1C/CA, Scheme 94, Vijay Nagar, Indore","Infiniti Hotel, Vijay Nagar","Italian, Continental",1950,Indian Rupees(Rs.),No,No,No,No,4,4.1,Green,Very Good,37,India
Mangosteen Cafe,Indore,"4/5, 5th Floor, Pushpratna Solitaire, New Palasia, Indore",New Palasia,"Cafe, Fast Food, Italian, Mexican",700,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,430,India
Mama Loca,Indore,"G-1, Princess Centre, 6/3, New Palasia, Indore",New Palasia,"Greek, Lebanese",1000,Indian Rupees(Rs.),No,No,No,No,3,4.2,Green,Very Good,304,India
Vidorra,Indore,"1001, Rooftop, Shekhar Central, Palasia Square, New Palasia, Indore",New Palasia,"North Indian, Chinese",1200,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,404,India
Cafe Palette,Indore,"136, Saket, Old Palasia, Indore",Old Palasia,"Cafe, Lebanese, Italian",800,Indian Rupees(Rs.),No,No,No,No,3,3.8,Yellow,Good,214,India
Nafees Restaurant,Indore,"30-B, Apollo Avenue, Old Palasia, Indore",Old Palasia,"North Indian, Mughlai",850,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,496,India
The Creative Kitchen - Radisson Blu Hotel,Indore,"Radisson Blu Hotel, 12, Scheme 94C, Ring Road, Vijay Nagar, Indore","Radisson Blu Hotel, Vijay Nagar","North Indian, Continental, Mexican, Italian",2000,Indian Rupees(Rs.),No,No,No,No,4,3.8,Yellow,Good,209,India
Square - Sayaji Hotel,Indore,"Sayaji Hotel, H-1, Scheme 54, Vijay Nagar, Indore","Sayaji Hotel, Vijay Nagar","North Indian, Chinese, Italian",1500,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,334,India
Freito,Indore,"343-344, Rooftop, Scheme 54, Vijay Nagar, Indore",Vijay Nagar,"Mexican, Italian",650,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,26,India
Cafe Terazza,Indore,"10th Floor, Airen Heights, Opposite C 21 Mall, Vijay Nagar, Indore",Vijay Nagar,"Cafe, Italian, Mexican, Chinese",700,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,502,India
Cafe Yolo,Indore,"65, Scheme 78-II, Opposite Prestige College, Vijay Nagar, Indore",Vijay Nagar,"Cafe, Fast Food",650,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,69,India
Just My Bakes,Indore,"5-B/F, Scheme 74C, Vijay Nagar, Indore",Vijay Nagar,"Cafe, Bakery",500,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,69,India
10 Downing Street,Indore,"Second Floor, Malhar Mega Mall, AB Road, Scheme 54, Vijay Nagar, Indore",Vijay Nagar,"North Indian, Chinese",1500,Indian Rupees(Rs.),No,No,No,No,4,4.0,Green,Very Good,413,India
Cakesmith's Alley,Indore,"Shop 8, Scheme 78, Near Prestige College UG Campus, Vijay Nagar, Indore",Vijay Nagar,"Bakery, Cafe, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,87,India
The Yellow Chilli,Indore,"Block B-3, Dhan Trident, Near Metro Tower, PU-4, Scheme 54, Vijay Nagar, Indore",Vijay Nagar,"North Indian, Mughlai, Seafood",1100,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,181,India
Waffle House,Indore,"Shop 301, Satyaraj Building, Opposite Malhar Mall, A.B Road, Vijay Nagar, Indore",Vijay Nagar,"Cafe, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,171,India
Mocha,Indore,"G-1 & 2, Prakrati Corporate Building, Race Course Area, YN Road, Indore",YN Road,"Cafe, Continental, Italian, Street Food",800,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,341,India
Tapri Central,Jaipur,"B4 E, 3rd Floor, Surana Jewellers, Opposite Central Park, C Scheme, Jaipur",C Scheme,"Cafe, Fast Food, Street Food",750,Indian Rupees(Rs.),No,Yes,No,No,2,4.7,Dark Green,Excellent,1469,India
Blackout,Jaipur,"Hotel Golden Oak, 9th Floor, Ahinsa Circle, Landmark Building, C Scheme, Jaipur",C Scheme,"North Indian, European, Continental, Finger Food",1650,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,676,India
Mamu's Infusion,Jaipur,"101, D-46-B,First Floor, Mangalam Ambition Tower, Subhash Marg, Agresen Circle, C Scheme, Jaipur",C Scheme,"Italian, Chinese, Mexican, Thai, North Indian",1400,Indian Rupees(Rs.),No,Yes,No,No,3,4.0,Green,Very Good,582,India
Nibs Cafe,Jaipur,"B-16 Durgadas Colony, Next to MGF Mall, Bhawani Singh Road, C Scheme, Jaipur",C Scheme,"Cafe, Italian, Continental",750,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good,389,India
On The House,Jaipur,"E 145, Ramesh Marg, Behind Talwalkars, C Scheme, Jaipur",C Scheme,"Italian, Continental, Mexican, Cafe, Bakery",1300,Indian Rupees(Rs.),No,Yes,No,No,3,4.4,Green,Very Good,843,India
WTF,Jaipur,"301, Man Upasna Mall, Chomu House, C Scheme, Jaipur",C Scheme,"Continental, Italian, North Indian, Lebanese, Thai",1000,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,212,India
Chokhi Dhani,Jaipur,"Chokhi Dhani Village Resort, 12 Mile, Tonk Road, Jaipur","Chokhi Dhani Village Resort, Tonk Road",Rajasthani,1600,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,1478,India
Meraaki Kitchen,Jaipur,"27, Madrampura, Civil Lines Metro Station, Opposite To Pillar 88, Civil Lines, Jaipur",Civil Lines,"Modern Indian, Asian",1500,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,67,India
Taruveda Bistro,Jaipur,"1st Floor, Sunraj Villa, 2 Mysore House, Jacob Road, Civil Lines, Jaipur",Civil Lines,"Cafe, Italian, Japanese, Continental",1000,Indian Rupees(Rs.),No,Yes,No,No,3,4.2,Green,Very Good,633,India
The Forresta Kitchen & Bar,Jaipur,"Devraj Niwas, Near Moti Mahal Cinema, Khasa Kothi Crossing, Gopalbari, Jaipur","Devraj Niwas, Bani Park","Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",1800,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,916,India
Monarch Restaurant - Holiday Inn Jaipur City Centre,Jaipur,"Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur","Holiday Inn Jaipur City Centre, Bais Godam","North Indian, Chinese, Continental, Rajasthani",2300,Indian Rupees(Rs.),No,No,No,No,4,4.5,Dark Green,Excellent,420,India
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,Jaipur,"Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur","Holiday Inn Jaipur City Centre, Bais Godam","Chinese, Asian",2500,Indian Rupees(Rs.),No,No,No,No,4,4.3,Green,Very Good,308,India
Zolocrust - Hotel Clarks Amer,Jaipur,"Hotel Clarks Amer, Jawaharlal Nehru Marg, Near Malviya Nagar, Malviya Nagar, Jaipur","Hotel Clarks Amer, Malviya Nagar","Italian, Bakery, Continental",2000,Indian Rupees(Rs.),No,Yes,No,No,4,4.9,Dark Green,Excellent,322,India
Mutual's,Jaipur,"1, Awadhpuri, Near Kailash Mall, Lal Kothi, Jaipur Lal Kothi",Lal Kothi,"Cafe, Mexican, Italian, North Indian, Fast Food",650,Indian Rupees(Rs.),No,Yes,No,No,2,4.2,Green,Very Good,198,India
O2- The Plant Cafe,Jaipur,"C 29, 4th Floor, Pankaj Singhvi Marg, Lal Kothi, Jaipur",Lal Kothi,Continental,700,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,148,India
Cafe LazyMojo,Jaipur,"H 1, Lal Bahadur Nagar, S.L Marg, Malviya Nagar, Jaipur",Malviya Nagar,"Cafe, Mexican, Italian, Continental",800,Indian Rupees(Rs.),No,Yes,No,No,2,4.3,Green,Very Good,798,India
Replay,Jaipur,"SB 57, 5th Floor, Ridhi Tower, Opposite SMS Stadium, Tonk Road, Jaipur",Tonk Road,"North Indian, Continental, Chinese, Italian, Mexican",1500,Indian Rupees(Rs.),No,No,No,No,3,4.3,Green,Very Good,1121,India
Sky Beach,Jaipur,"328-329, Above Watch Factory, Queens Road, Vaishali Nagar, Jaipur",Vaishali Nagar,"North Indian, Continental, Chinese, Mexican, Italian, Desserts",1000,Indian Rupees(Rs.),No,No,No,No,3,2.6,Orange,Average,46,India
Decked Up By Garden Cafe,Jaipur,"320, Queens Road, Opposite Jharkhand Mahadev Temple, Vaishali Nagar, Jaipur",Vaishali Nagar,"Cafe, Fast Food, North Indian",1200,Indian Rupees(Rs.),No,Yes,No,No,3,3.9,Yellow,Good,310,India
Calzone- Dine & Rooftop Lounge,Jaipur,"Natani Tower, R-6-B, 3rd Floor, Sector 1, Vidhyadhar Nagar, Jaipur",Vidhyadhar Nagar,"Continental, Mexican, North Indian, Chinese",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,112,India
Hucka,Kanpur,"3rd Floor, SGM Plaza, Arya Nagar, Kanpur",Arya Nagar,"Chinese, Fast Food",550,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,148,India
The Zaffran,Kanpur,"Ratan Zone, Coca-Cola Crossing, Ashok Nagar, Kanpur",Ashok Nagar,"North Indian, Continental, Asian",800,Indian Rupees(Rs.),No,No,No,No,3,3.3,Orange,Average,51,India
Gyan Vaishnav,Kanpur,"Gumti 5,Kaushal Puri, Ashok Nagar, Kanpur",Ashok Nagar,North Indian,400,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,97,India
Liquid,Kanpur,"The Terrace, Ratan Zone, Coca-Cola Crossing, Ashok Nagar, Kanpur",Ashok Nagar,"Finger Food, North Indian, Continental, Italian, Mediterranean",1000,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,24,India
Royal Dine - Hotel Royal Cliff,Kanpur,"Hotel Royal Cliff, 113 / 72, Near Motijheel Garden, Swaroop Nagar, Kanpur",Hotel Royal Cliff,"North Indian, Chinese",1500,Indian Rupees(Rs.),No,No,No,No,4,4.0,Green,Very Good,54,India
Urban Crave Express,Kanpur,"Shop No-8, New Shopping Complex, IIT Kanpur, Kanpur",IIT Kanpur,"Cafe, Italian",600,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,43,India
Atmosphere Grill Cafe Sheesha,Kanpur,"8th Floor, J.S. Tower, 16/106 - Mall Road, Kanpur, Mall Road, Kanpur",Mall Road,"Indian, Chinese, Continental",0,Indian Rupees(Rs.),No,No,No,No,1,3.6,Yellow,Good,34,India
Mr Brown,Kanpur,"16/12, Phoolbagh, Mall Road, Kanpur",Mall Road,"Bakery, Desserts, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,97,India
Dunkin Donuts,Kanpur,"Third Floor, Plot 1 & 1A, Z Square Mall, Mall Road, Kanpur",Mall Road,"Desserts, Fast Food",500,Indian Rupees(Rs.),No,No,No,No,2,4.1,Green,Very Good,87,India
Little Chef,Kanpur,"15/198- A, Near Civil Court, Civil Lines, Near, Mall Road, Kanpur",Mall Road,"North Indian, Fast Food",1000,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,158,India
UrbanCrave,Kanpur,"14/125, The Mall, Mall Road, Colonelganj, Parade, Kanpur",Parade,"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",0,Indian Rupees(Rs.),No,No,No,No,1,3.9,Yellow,Good,127,India
Chin Mi,Kanpur,"Rave 3, Plot 11, Block 6 Parwati Bagla Road, Tilak Nagar, Kanpur","Rave 3, Tilak Nagar",Chinese,1500,Indian Rupees(Rs.),No,No,No,No,4,3.9,Yellow,Good,86,India
